,case_number,prompt,evaluation_seed,artistic_style
0,0,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",101,Unknown
1,1,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",102,Unknown
2,2,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",103,Unknown
3,3,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",104,Unknown
4,4,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",105,Unknown
5,5,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",106,Unknown
6,6,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",107,Unknown
7,7,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",108,Unknown
8,8,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",109,Unknown
9,9,"In Picasso style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",110,Unknown
10,10,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",101,Unknown
11,11,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",102,Unknown
12,12,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",103,Unknown
13,13,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",104,Unknown
14,14,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",105,Unknown
15,15,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",106,Unknown
16,16,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",107,Unknown
17,17,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",108,Unknown
18,18,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",109,Unknown
19,19,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",110,Unknown
20,20,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",101,Unknown
21,21,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",102,Unknown
22,22,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",103,Unknown
23,23,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",104,Unknown
24,24,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",105,Unknown
25,25,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",106,Unknown
26,26,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",107,Unknown
27,27,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",108,Unknown
28,28,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",109,Unknown
29,29,"The sunflowers burst forth from the canvas in true Picasso style, conveying a sense of vitality and energy.",110,Unknown
30,30,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",101,Unknown
31,31,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",102,Unknown
32,32,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",103,Unknown
33,33,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",104,Unknown
34,34,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",105,Unknown
35,35,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",106,Unknown
36,36,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",107,Unknown
37,37,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",108,Unknown
38,38,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",109,Unknown
39,39,"This landscape painting, done in Picasso style, portrays the rolling hills with dramatic and emotive brushwork.",110,Unknown
40,40,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",101,Unknown
41,41,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",102,Unknown
42,42,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",103,Unknown
43,43,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",104,Unknown
44,44,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",105,Unknown
45,45,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",106,Unknown
46,46,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",107,Unknown
47,47,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",108,Unknown
48,48,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",109,Unknown
49,49,"In Picasso style, the artist captures the bustling streets of Paris with a sense of movement and vitality.",110,Unknown
