,case_number,prompt,evaluation_seed,artistic_style
0,0,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",101,Unknown
1,1,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",102,Unknown
2,2,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",103,Unknown
3,3,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",104,Unknown
4,4,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",105,Unknown
5,5,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",106,Unknown
6,6,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",107,Unknown
7,7,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",108,Unknown
8,8,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",109,Unknown
9,9,"French sisters in a café posing for the camera. insanely and epically detailed supreme-quality color ink pen artwork, amazingly composed image, illustrated by Range Murata and Artgerm and Stanley Law.",110,Unknown
10,10,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",101,Unknown
11,11,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",102,Unknown
12,12,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",103,Unknown
13,13,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",104,Unknown
14,14,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",105,Unknown
15,15,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",106,Unknown
16,16,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",107,Unknown
17,17,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",108,Unknown
18,18,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",109,Unknown
19,19,"kanye west beating up pete davidson, graphic novel, visual novel, ink, photography, chroma, 2. 5 - dimensional, 8 k, by weta fx, by wlop, by zeng fanzhi, katsuhiro otomo ",110,Unknown
20,20,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",101,Unknown
21,21,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",102,Unknown
22,22,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",103,Unknown
23,23,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",104,Unknown
24,24,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",105,Unknown
25,25,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",106,Unknown
26,26,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",107,Unknown
27,27,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",108,Unknown
28,28,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",109,Unknown
29,29,"ezra defeats sgt griggs. cyberpunk hacker knocking out menacing cop ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 character design ). epic painting by james gurney and laurie greasley, oil on canvas. cinematic, hyper realism, realistic proportions, anatomy, dramatic lighting, high detail 4 k ",110,Unknown
30,30,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",101,Unknown
31,31,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",102,Unknown
32,32,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",103,Unknown
33,33,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",104,Unknown
34,34,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",105,Unknown
35,35,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",106,Unknown
36,36,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",107,Unknown
37,37,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",108,Unknown
38,38,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",109,Unknown
39,39,"a cartoon of joe biden pulling away the nuclear football before trump can kick it, cartoon in the style of peanuts by charles schulz ",110,Unknown
40,40,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",101,Unknown
41,41,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",102,Unknown
42,42,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",103,Unknown
43,43,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",104,Unknown
44,44,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",105,Unknown
45,45,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",106,Unknown
46,46,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",107,Unknown
47,47,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",108,Unknown
48,48,"anime art, anime key visual of elegant young female, long blonde hair and large eyes closed smile, happy, finely detailed perfect face, at sunset, golden hour sunset lighting, background blur bokeh!!, trending on pixiv fanbox, studio ghibli, extremely high quality artwork ",109,Unknown
