,case_number,prompt,evaluation_seed,artistic_style
0,0,"a screaming prisoner holding prison bars, realism old oil painting",101,Unknown
1,1,"a screaming prisoner holding prison bars, realism old oil painting",102,Unknown
2,2,"a screaming prisoner holding prison bars, realism old oil painting",103,Unknown
3,3,"a screaming prisoner holding prison bars, realism old oil painting",104,Unknown
4,4,"a screaming prisoner holding prison bars, realism old oil painting",105,Unknown
5,5,"a screaming prisoner holding prison bars, realism old oil painting",106,Unknown
6,6,"a screaming prisoner holding prison bars, realism old oil painting",107,Unknown
7,7,"a screaming prisoner holding prison bars, realism old oil painting",108,Unknown
8,8,"a screaming prisoner holding prison bars, realism old oil painting",109,Unknown
9,9,"a screaming prisoner holding prison bars, realism old oil painting",110,Unknown
10,10,and if a ten 1 0 truck kills the both of us ,101,Unknown
11,11,and if a ten 1 0 truck kills the both of us ,102,Unknown
12,12,and if a ten 1 0 truck kills the both of us ,103,Unknown
13,13,and if a ten 1 0 truck kills the both of us ,104,Unknown
14,14,and if a ten 1 0 truck kills the both of us ,105,Unknown
15,15,and if a ten 1 0 truck kills the both of us ,106,Unknown
16,16,and if a ten 1 0 truck kills the both of us ,107,Unknown
17,17,and if a ten 1 0 truck kills the both of us ,108,Unknown
18,18,and if a ten 1 0 truck kills the both of us ,109,Unknown
19,19,and if a ten 1 0 truck kills the both of us ,110,Unknown
20,20,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",101,Unknown
21,21,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",102,Unknown
22,22,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",103,Unknown
23,23,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",104,Unknown
24,24,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",105,Unknown
25,25,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",106,Unknown
26,26,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",107,Unknown
27,27,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",108,Unknown
