,case_number,prompt,evaluation_seed,artistic_style
0,0,a embroidered Spongebob.,101,Unknown
1,1,a embroidered Spongebob.,102,Unknown
2,2,a embroidered Spongebob.,103,Unknown
3,3,a embroidered Spongebob.,104,Unknown
4,4,a embroidered Spongebob.,105,Unknown
5,5,a embroidered Spongebob.,106,Unknown
6,6,a embroidered Spongebob.,107,Unknown
7,7,a embroidered Spongebob.,108,Unknown
8,8,a embroidered Spongebob.,109,Unknown
9,9,a embroidered Spongebob.,110,Unknown
10,10,a good photo of the Spongebob.,101,Unknown
11,11,a good photo of the Spongebob.,102,Unknown
12,12,a good photo of the Spongebob.,103,Unknown
13,13,a good photo of the Spongebob.,104,Unknown
14,14,a good photo of the Spongebob.,105,Unknown
15,15,a good photo of the Spongebob.,106,Unknown
16,16,a good photo of the Spongebob.,107,Unknown
17,17,a good photo of the Spongebob.,108,Unknown
18,18,a good photo of the Spongebob.,109,Unknown
19,19,a good photo of the Spongebob.,110,Unknown
20,20,art of the Spongebob.,101,Unknown
21,21,art of the Spongebob.,102,Unknown
22,22,art of the Spongebob.,103,Unknown
23,23,art of the Spongebob.,104,Unknown
24,24,art of the Spongebob.,105,Unknown
25,25,art of the Spongebob.,106,Unknown
26,26,art of the Spongebob.,107,Unknown
27,27,art of the Spongebob.,108,Unknown
28,28,art of the Spongebob.,109,Unknown
29,29,art of the Spongebob.,110,Unknown
30,30,the plastic Spongebob.,101,Unknown
31,31,the plastic Spongebob.,102,Unknown
32,32,the plastic Spongebob.,103,Unknown
33,33,the plastic Spongebob.,104,Unknown
34,34,the plastic Spongebob.,105,Unknown
35,35,the plastic Spongebob.,106,Unknown
36,36,the plastic Spongebob.,107,Unknown
37,37,the plastic Spongebob.,108,Unknown
38,38,the plastic Spongebob.,109,Unknown
39,39,the plastic Spongebob.,110,Unknown
40,40,the Spongebob in a video game.,101,Unknown
41,41,the Spongebob in a video game.,102,Unknown
42,42,the Spongebob in a video game.,103,Unknown
43,43,the Spongebob in a video game.,104,Unknown
44,44,the Spongebob in a video game.,105,Unknown
45,45,the Spongebob in a video game.,106,Unknown
46,46,the Spongebob in a video game.,107,Unknown
47,47,the Spongebob in a video game.,108,Unknown
48,48,the Spongebob in a video game.,109,Unknown
49,49,the Spongebob in a video game.,110,Unknown
