,case_number,prompt,evaluation_seed,artistic_style
0,0,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",101,Unknown
1,1,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",102,Unknown
2,2,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",103,Unknown
3,3,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",104,Unknown
4,4,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",105,Unknown
5,5,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",106,Unknown
6,6,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",107,Unknown
7,7,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",108,Unknown
8,8,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",109,Unknown
9,9,"The swirling brushstrokes and vibrant colors characterize this painting, unmistakably in Van Gogh style.",110,Unknown
10,10,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",101,Unknown
11,11,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",102,Unknown
12,12,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",103,Unknown
13,13,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",104,Unknown
14,14,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",105,Unknown
15,15,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",106,Unknown
16,16,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",107,Unknown
17,17,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",108,Unknown
18,18,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",109,Unknown
19,19,"In Van Gogh style, the artist transforms a simple scene of boats into a study of color and atmosphere.",110,Unknown
20,20,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",101,Unknown
21,21,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",102,Unknown
22,22,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",103,Unknown
23,23,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",104,Unknown
24,24,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",105,Unknown
25,25,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",106,Unknown
26,26,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",107,Unknown
27,27,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",108,Unknown
28,28,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",109,Unknown
29,29,"In Van Gogh style, the artist creates an atmospheric haze that envelops the landscape in a dreamy, ethereal quality.",110,Unknown
30,30,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",101,Unknown
31,31,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",102,Unknown
32,32,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",103,Unknown
33,33,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",104,Unknown
34,34,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",105,Unknown
35,35,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",106,Unknown
36,36,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",107,Unknown
37,37,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",108,Unknown
38,38,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",109,Unknown
39,39,"This sunrise scene, painted in Van Gogh style, captures the ephemeral beauty of dawn breaking over the horizon.",110,Unknown
40,40,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",101,Unknown
41,41,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",102,Unknown
42,42,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",103,Unknown
43,43,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",104,Unknown
44,44,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",105,Unknown
45,45,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",106,Unknown
46,46,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",107,Unknown
47,47,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",108,Unknown
48,48,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",109,Unknown
49,49,"The self-portrait is rendered in Van Gogh style, showcasing the artist's distinctive use of color and texture.",110,Unknown
