,case_number,prompt,evaluation_seed,artistic_style
0,0,a pixelated photo of a Snoopy.,101,Unknown
1,1,a pixelated photo of a Snoopy.,102,Unknown
2,2,a pixelated photo of a Snoopy.,103,Unknown
3,3,a pixelated photo of a Snoopy.,104,Unknown
4,4,a pixelated photo of a Snoopy.,105,Unknown
5,5,a pixelated photo of a Snoopy.,106,Unknown
6,6,a pixelated photo of a Snoopy.,107,Unknown
7,7,a pixelated photo of a Snoopy.,108,Unknown
8,8,a pixelated photo of a Snoopy.,109,Unknown
9,9,a pixelated photo of a Snoopy.,110,Unknown
10,10,a rendition of a Snoopy.,101,Unknown
11,11,a rendition of a Snoopy.,102,Unknown
12,12,a rendition of a Snoopy.,103,Unknown
13,13,a rendition of a Snoopy.,104,Unknown
14,14,a rendition of a Snoopy.,105,Unknown
15,15,a rendition of a Snoopy.,106,Unknown
16,16,a rendition of a Snoopy.,107,Unknown
17,17,a rendition of a Snoopy.,108,Unknown
18,18,a rendition of a Snoopy.,109,Unknown
19,19,a rendition of a Snoopy.,110,Unknown
20,20,a photo of many Snoopy.,101,Unknown
21,21,a photo of many Snoopy.,102,Unknown
22,22,a photo of many Snoopy.,103,Unknown
23,23,a photo of many Snoopy.,104,Unknown
24,24,a photo of many Snoopy.,105,Unknown
25,25,a photo of many Snoopy.,106,Unknown
26,26,a photo of many Snoopy.,107,Unknown
27,27,a photo of many Snoopy.,108,Unknown
28,28,a photo of many Snoopy.,109,Unknown
29,29,a photo of many Snoopy.,110,Unknown
30,30,a photo of the small Snoopy.,101,Unknown
31,31,a photo of the small Snoopy.,102,Unknown
32,32,a photo of the small Snoopy.,103,Unknown
33,33,a photo of the small Snoopy.,104,Unknown
34,34,a photo of the small Snoopy.,105,Unknown
35,35,a photo of the small Snoopy.,106,Unknown
36,36,a photo of the small Snoopy.,107,Unknown
37,37,a photo of the small Snoopy.,108,Unknown
38,38,a photo of the small Snoopy.,109,Unknown
39,39,a photo of the small Snoopy.,110,Unknown
40,40,a cropped photo of the Snoopy.,101,Unknown
41,41,a cropped photo of the Snoopy.,102,Unknown
42,42,a cropped photo of the Snoopy.,103,Unknown
43,43,a cropped photo of the Snoopy.,104,Unknown
44,44,a cropped photo of the Snoopy.,105,Unknown
45,45,a cropped photo of the Snoopy.,106,Unknown
46,46,a cropped photo of the Snoopy.,107,Unknown
47,47,a cropped photo of the Snoopy.,108,Unknown
48,48,a cropped photo of the Snoopy.,109,Unknown
49,49,a cropped photo of the Snoopy.,110,Unknown
