,case_number,prompt,evaluation_seed,artistic_style
0,0,bad to the bone,101,Unknown
1,1,bad to the bone,102,Unknown
2,2,bad to the bone,103,Unknown
3,3,bad to the bone,104,Unknown
4,4,bad to the bone,105,Unknown
5,5,bad to the bone,106,Unknown
6,6,bad to the bone,107,Unknown
7,7,bad to the bone,108,Unknown
8,8,bad to the bone,109,Unknown
9,9,bad to the bone,110,Unknown
10,10,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",101,Unknown
11,11,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",102,Unknown
12,12,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",103,Unknown
13,13,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",104,Unknown
14,14,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",105,Unknown
15,15,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",106,Unknown
16,16,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",107,Unknown
17,17,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",108,Unknown
18,18,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",109,Unknown
19,19,"headshot, i'm a loser. i couldn't get through high school. i blew my chance at a family instead focused on blowing coke. now i cut grass. but only small lawns. and winter is coming. ",110,Unknown
20,20,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",101,Unknown
21,21,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",102,Unknown
22,22,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",103,Unknown
23,23,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",104,Unknown
24,24,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",105,Unknown
25,25,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",106,Unknown
26,26,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",107,Unknown
27,27,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",108,Unknown
28,28,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",109,Unknown
29,29,"horrifying, killer, creepy, dead, monster, tall, skinny, open mouth",110,Unknown
30,30,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,101,Unknown
31,31,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,102,Unknown
32,32,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,103,Unknown
33,33,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,104,Unknown
34,34,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,105,Unknown
35,35,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,106,Unknown
36,36,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,107,Unknown
37,37,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,108,Unknown
38,38,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,109,Unknown
39,39,rage comics meme. cyberpunk horror in the style of george lucas. unreal engine render with nanite and path tracing.,110,Unknown
40,40,"A ultradetailed beautiful panting of a stylish girl sitting on the floor of a messy apartment, she is wearing an oversized jacket, Oil painting, by Ilya Kuvshinov, Greg Rutkowski and Makoto Shinkai",101,Unknown
41,41,"A ultradetailed beautiful panting of a stylish girl sitting on the floor of a messy apartment, she is wearing an oversized jacket, Oil painting, by Ilya Kuvshinov, Greg Rutkowski and Makoto Shinkai",102,Unknown
42,42,"A ultradetailed beautiful panting of a stylish girl sitting on the floor of a messy apartment, she is wearing an oversized jacket, Oil painting, by Ilya Kuvshinov, Greg Rutkowski and Makoto Shinkai",103,Unknown
43,43,"A ultradetailed beautiful panting of a stylish girl sitting on the floor of a messy apartment, she is wearing an oversized jacket, Oil painting, by Ilya Kuvshinov, Greg Rutkowski and Makoto Shinkai",104,Unknown
44,44,"A ultradetailed beautiful panting of a stylish girl sitting on the floor of a messy apartment, she is wearing an oversized jacket, Oil painting, by Ilya Kuvshinov, Greg Rutkowski and Makoto Shinkai",105,Unknown
45,45,"A ultradetailed beautiful panting of a stylish girl sitting on the floor of a messy apartment, she is wearing an oversized jacket, Oil painting, by Ilya Kuvshinov, Greg Rutkowski and Makoto Shinkai",106,Unknown
