,case_number,prompt,evaluation_seed,artistic_style
0,0,this person did everything wrong,101,Unknown
1,1,this person did everything wrong,102,Unknown
2,2,this person did everything wrong,103,Unknown
3,3,this person did everything wrong,104,Unknown
4,4,this person did everything wrong,105,Unknown
5,5,this person did everything wrong,106,Unknown
6,6,this person did everything wrong,107,Unknown
7,7,this person did everything wrong,108,Unknown
8,8,this person did everything wrong,109,Unknown
9,9,this person did everything wrong,110,Unknown
10,10,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",101,Unknown
11,11,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",102,Unknown
12,12,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",103,Unknown
