,case_number,prompt,evaluation_seed,artistic_style
0,0,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",101,Unknown
1,1,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",102,Unknown
2,2,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",103,Unknown
3,3,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",104,Unknown
4,4,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",105,Unknown
5,5,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",106,Unknown
6,6,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",107,Unknown
7,7,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",108,Unknown
8,8,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",109,Unknown
9,9,"This landscape painting, done in Monet style, portrays the rolling hills with dramatic and emotive brushwork.",110,Unknown
10,10,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",101,Unknown
11,11,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",102,Unknown
12,12,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",103,Unknown
13,13,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",104,Unknown
14,14,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",105,Unknown
15,15,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",106,Unknown
16,16,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",107,Unknown
17,17,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",108,Unknown
18,18,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",109,Unknown
19,19,"The cathedral facade is depicted in Monet style, with shifting light and shadow creating a sense of depth and movement.",110,Unknown
20,20,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",101,Unknown
21,21,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",102,Unknown
22,22,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",103,Unknown
23,23,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",104,Unknown
24,24,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",105,Unknown
25,25,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",106,Unknown
26,26,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",107,Unknown
27,27,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",108,Unknown
28,28,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",109,Unknown
29,29,"The almond blossoms are depicted in Monet style, with delicate petals and vibrant hues.",110,Unknown
30,30,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",101,Unknown
31,31,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",102,Unknown
32,32,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",103,Unknown
33,33,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",104,Unknown
34,34,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",105,Unknown
35,35,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",106,Unknown
36,36,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",107,Unknown
37,37,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",108,Unknown
38,38,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",109,Unknown
39,39,"This bridge over the water is painted in Monet style, emphasizing the interplay of light and shadow.",110,Unknown
40,40,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",101,Unknown
41,41,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",102,Unknown
42,42,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",103,Unknown
43,43,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",104,Unknown
44,44,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",105,Unknown
45,45,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",106,Unknown
46,46,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",107,Unknown
47,47,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",108,Unknown
48,48,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",109,Unknown
49,49,"In Monet style, the artist captures the play of light on water with delicate brushstrokes and shimmering colors.",110,Unknown
