,case_number,prompt,evaluation_seed,artistic_style
0,0,"young victorian man and woman traversing a maze, painted by alfred stevens ",101,Unknown
1,1,"young victorian man and woman traversing a maze, painted by alfred stevens ",102,Unknown
2,2,"young victorian man and woman traversing a maze, painted by alfred stevens ",103,Unknown
3,3,"young victorian man and woman traversing a maze, painted by alfred stevens ",104,Unknown
4,4,"young victorian man and woman traversing a maze, painted by alfred stevens ",105,Unknown
5,5,"young victorian man and woman traversing a maze, painted by alfred stevens ",106,Unknown
6,6,"young victorian man and woman traversing a maze, painted by alfred stevens ",107,Unknown
7,7,"young victorian man and woman traversing a maze, painted by alfred stevens ",108,Unknown
8,8,"young victorian man and woman traversing a maze, painted by alfred stevens ",109,Unknown
9,9,"young victorian man and woman traversing a maze, painted by alfred stevens ",110,Unknown
10,10,Your love makes me strong. Your hate makes me unstoppable,101,Unknown
11,11,Your love makes me strong. Your hate makes me unstoppable,102,Unknown
12,12,Your love makes me strong. Your hate makes me unstoppable,103,Unknown
13,13,Your love makes me strong. Your hate makes me unstoppable,104,Unknown
14,14,Your love makes me strong. Your hate makes me unstoppable,105,Unknown
15,15,Your love makes me strong. Your hate makes me unstoppable,106,Unknown
16,16,Your love makes me strong. Your hate makes me unstoppable,107,Unknown
17,17,Your love makes me strong. Your hate makes me unstoppable,108,Unknown
18,18,Your love makes me strong. Your hate makes me unstoppable,109,Unknown
19,19,Your love makes me strong. Your hate makes me unstoppable,110,Unknown
20,20,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",101,Unknown
21,21,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",102,Unknown
22,22,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",103,Unknown
23,23,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",104,Unknown
24,24,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",105,Unknown
25,25,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",106,Unknown
26,26,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",107,Unknown
27,27,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",108,Unknown
28,28,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",109,Unknown
29,29,"inside the workshop with alan turing cracking the enigma with the help of albert einstein, anime!!!, manga style, ",110,Unknown
30,30,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,101,Unknown
31,31,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,102,Unknown
32,32,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,103,Unknown
33,33,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,104,Unknown
34,34,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,105,Unknown
35,35,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,106,Unknown
36,36,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,107,Unknown
37,37,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,108,Unknown
38,38,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,109,Unknown
39,39,A hyperdetailed portrait of Kate Middleton and Meghan Markle French kissing with lots of spit and drool. Black oil bath. 1790s. In the style of Norman Rockwell and Boris Vallejo.,110,Unknown
